OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
168,1442956,country parks,HARTSHILL HAYES,Known as a Country Park,54.81,SP320944,HARTSHILL HAYES (Country Park),,548056.642631531,4404.28854015147,6c6623fd-5179-4719-bdd7-a6e5ec46053d
169,1421895,country parks,HARTSHOLME,Known as a Country Park,46.27,SK944694,HARTSHOLME (Country Park),GSP001285,462726.006896973,3912.76740032721,b11e8386-5784-429b-a5cb-d62319b7d562
170,1421896,country parks,HASTINGS,Known as a Country Park,238.21,TQ849103,HASTINGS (Country Park),GSP001247,2382090.3080101,21145.1473445348,e5305d65-95f8-45d6-b136-151ddc95dc37
171,1421897,country parks,HATFIELD FOREST,Known as a Country Park,371.5,TL537201,HATFIELD FOREST (Country Park),,3715037.95002747,8974.73562299559,9381895a-7865-4118-abf0-4c4f951713be
172,1443066,country parks,HAVENSIDE,Known as a Country Park,11.4,TF346419,HAVENSIDE (Country Park),,114035.235198975,4092.33831038976,7d871c1c-be37-4dc6-8c52-1cb1fbee9a68
173,1442990,country parks,HAVERING,Known as a Country Park,63.22,TQ504927,HAVERING (Country Park),,632179.212005615,4822.88089087416,13d27ec4-97bf-414a-a6dd-2379e4d36a20
174,1442734,country parks,HAYSDEN,Accredited,65.13,TQ567459,HAYSDEN (Country Park),GSP001270,651265.029495239,8986.31698244462,e3707476-ea2d-47b5-ae3a-3b1d39474226
175,1421898,country parks,HEIGHTS OF ABRAHAM,Known as a Country Park,12.72,SK291585,HEIGHTS OF ABRAHAM (Country Park),,127186.820465088,1855.39664991709,a4e77237-bf71-4d4b-a4e7-f9b8148c1533
176,1421899,country parks,HERRINGTON,Known as a Country Park,136,NZ339535,HERRINGTON (Country Park),GSP001132,1359950.42353821,6525.99866571641,b5996029-76db-44d0-ae6b-027cbf51383f
177,1442730,country parks,HETTON LYONS,Known as a Country Park,55.22,NZ360475,HETTON LYONS (Country Park),,552169.412963867,4162.6720386698,9e9dd812-3e0e-46e8-a883-e75f4b021bfe
178,1421900,country parks,HIGH ELMS,Known as a Country Park,165.61,TQ444629,HIGH ELMS (Country Park),,1656147.96561432,11155.0335840905,993edce0-ad84-472a-aafc-74ed6292928d
